Brand,Model,Year,Attrebutes,Miles(k miles),Registration,Control,Fuel,Location,Price(£)
BMW,5 Series,2025.0,- 530e M Sport 5dr Auto,101,2025 (25 reg),Auto,Not Supplied,Harrogate ,70570
Land Rover,Range Rover Sport,2018.0,(18) - 3.0 V6 S/C HSE Dynamic 5dr Auto,65,2018 (18 reg),Auto,Petrol,Bradford ,27590
Ford,Fiesta,2009.0,(09) - 1.6 Zetec S 3dr,115,2009 (9 reg),Manual,Petrol,Rochdale ,1995
Nissan,GT-R,2014.0,(64) - 3.8 V6 Premium Black Coupe 2dr Petrol Auto 4WD Euro 5 (550 ps),75,2014 (64 reg),Auto,Petrol,York ,47786
Hyundai,KONA,2025.0,- 1.6 Hybrid 129 Ultimate 5dr DCT,372,2025 (25 reg),Auto,Hybrid,Bradford ,31590
Ford,Focus,2013.0,(62) - 1.6 TDCi Zetec S Euro 5 (s/s) 5dr,41,2013 (62 reg),Manual,Diesel,Cleckheaton ,5995
Audi,A4,2004.0,(54) - Audi A4 1.9 TDI 130 SE 4dr AutoMatic,163,2004 (54 reg),Auto,Diesel,Goole ,1495
MINI,Clubman,2016.0,(66) - 1.5 Cooper Euro 6 (s/s) 6dr 6-Door,105,2016 (66 reg),Manual,Petrol,Ashton-Under-Lyne ,6495
Mercedes-Benz,Other,2023.0,- GLE 53 4MATICPLUS PREMIUM PLUS SLIDING PANORAMIC ROOF 5-Door,38,2023 (72 reg),Auto,Hybrid,Sheffield ,62980
Rolls-Royce,Silver Dawn,2017.0,(67) - 6.6 V12 Auto Euro 6 2dr,33,2017 (67 reg),Auto,Petrol,Ackworth ,149995
Land Rover,Defender 110,2021.0,- 3.0 D200 MHEV SUV 5dr Diesel Auto 4WD Euro 6 (s/s) (200 ps),28,2021 (21 reg),Auto,Diesel,Sheffield ,49890
Land Rover,Range Rover Sport,2015.0,(65) - 3.0 SDV6 [306] HSE Dynamic 5dr Auto,79,2015 (65 reg),Auto,Diesel,Bradford ,17990
Citroen,C1,2006.0,- 1.0i Vibe 3dr,114,2006 (6 reg),Manual,Petrol,Keighley ,995
Mercedes-Benz,V-Class,2017.0,(17) - 2017 MERCEDES BENZ V CLASS 2.2 V250D CDI AMG LINE 7G-TRONIC XLWB EURO 6 5-Door,97,2017 (17 reg),Auto,Diesel,Wakefield ,30990
BMW,i5,2025.0,- 250kW eDrive40 M Sport 84kWh 4dr Auto,101,2025 (25 reg),Auto,Electric,Harrogate ,69950
